participant,session,date,expName,psychopyVersion,OS,frameRate,exp1_trial_key.keys,exp1_trial_loop.thisRepN,exp1_trial_loop.thisTrialN,exp1_trial_loop.thisN,exp1_trial_loop.thisIndex,exp1_trial_loop.ran,num,list,cond,lang,type,sound_dir,phr,sent_code,mat,mat_num,emb_num,emb,cut,mat_f0_c,left,right,correct_img,correct_key,exp1_trial_key.rt,exp1_key.keys,exp1_key.corr,exp1_key.rt,exp1_loop.thisRepN,exp1_loop.thisTrialN,exp1_loop.thisN,exp1_loop.thisIndex,exp1_loop.ran,exp_num,image,image_alt,left_img,right_img,image_dir,exp2_trial_key.keys,exp2_trial_key.rt,exp2_trial_loop.thisRepN,exp2_trial_loop.thisTrialN,exp2_trial_loop.thisN,exp2_trial_loop.thisIndex,exp2_trial_loop.ran,exp2_retrial.thisRepN,exp2_retrial.thisTrialN,exp2_retrial.thisN,exp2_retrial.thisIndex,exp2_retrial.ran,exp2_key.keys,exp2_key.rt,exp2_loop.thisRepN,exp2_loop.thisTrialN,exp2_loop.thisN,exp2_loop.thisIndex,exp2_loop.ran,cs
SJ,001,2023-09-06_14h50.20.651,exp_g2,2022.2.5,MacIntel,60.0024001,,,,,,,099,l2,f,en,na,audio/099.wav,,l2_f_en_na_099,,,,,,,image/dog.png,image/cat.png,dog,lshift,,lshift,1,2.0833,0,1,1,3,1,1,dog,cat,dog,cat,,,,,,,,,,,,,,,,,,,,,
SJ,001,2023-09-06_14h50.20.651,exp_g2,2022.2.5,MacIntel,60.0024001,,,,,,,114,l2,f,se,na,audio/114.wav,,l2_f_se_na_114,,,,,,,image/jeans.png,image/sweatpants.png,sweatpants,rshift,,lshift,0,2.3725,0,2,2,18,1,1,sweatpants,jeans,jeans,sweatpants,,,,,,,,,,,,,,,,,,,,,
SJ,001,2023-09-06_14h50.20.651,exp_g2,2022.2.5,MacIntel,60.0024001,,,,,,,125,l2,f,sp,na,audio/125.wav,,l2_f_sp_na_125,,,,,,,image/desk.png,image/bottle.png,desk,lshift,,rshift,0,4.7634,0,3,3,29,1,1,desk,bottle,desk,bottle,,,,,,,,,,,,,,,,,,,,,
SJ,001,2023-09-06_14h50.20.651,exp_g2,2022.2.5,MacIntel,60.0024001,,,,,,,130,l2,f,sp,na,audio/130.wav,,l2_f_sp_na_130,,,,,,,image/socks.png,image/glasses.png,glasses,rshift,,lshift,0,3.0093,0,4,4,34,1,1,glasses,socks,socks,glasses,,,,,,,,,,,,,,,,,,,,,
SJ,001,2023-09-06_14h50.20.651,exp_g2,2022.2.5,MacIntel,60.0024001,,,,,,,097,l2,f,en,na,audio/097.wav,,l2_f_en_na_097,,,,,,,image/ring.png,image/belt.png,ring,lshift,,lshift,1,2.0983,0,5,5,1,1,1,ring,belt,ring,belt,,,,,,,,,,,,,,,,,,,,,
SJ,001,2023-09-06_14h50.20.651,exp_g2,2022.2.5,MacIntel,60.0024001,,,,,,,116,l2,f,se,na,audio/116.wav,,l2_f_se_na_116,,,,,,,image/sweatpants.png,image/boxers.png,boxers,rshift,,rshift,1,3.7558,0,6,6,20,1,1,boxers,sweatpants,sweatpants,boxers,,,,,,,,,,,,,,,,,,,,,
SJ,001,2023-09-06_14h50.20.651,exp_g2,2022.2.5,MacIntel,60.0024001,,,,,,,025,l2,t,es,na,audio/025.wav,,l2_t_es_na_025,,,,,,,image/cellphone.png,image/truck.png,cellphone,lshift,,lshift,1,2.5766,0,7,7,39,1,1,cellphone,truck,cellphone,truck,,,,,,,,,,,,,,,,,,,,,
SJ,001,2023-09-06_14h50.20.651,exp_g2,2022.2.5,MacIntel,60.0024001,,,,,,,108,l2,f,en,na,audio/108.wav,,l2_f_en_na_108,,,,,,,image/scarf.png,image/socks.png,socks,rshift,,rshift,1,2.6071,0,8,8,12,1,1,socks,scarf,scarf,socks,,,,,,,,,,,,,,,,,,,,,
SJ,001,2023-09-06_14h50.20.651,exp_g2,2022.2.5,MacIntel,60.0024001,,,,,,,123,l2,f,sp,na,audio/123.wav,,l2_f_sp_na_123,,,,,,,image/sweater.png,image/cellphone.png,sweater,lshift,,lshift,1,2.1615,0,9,9,27,1,1,sweater,cellphone,sweater,cellphone,,,,,,,,,,,,,,,,,,,,,
SJ,001,2023-09-06_14h50.20.651,exp_g2,2022.2.5,MacIntel,60.0024001,,,,,,,117,l2,f,se,na,audio/117.wav,,l2_f_se_na_117,,,,,,,image/spongebob.png,image/mickeymouse.png,spongebob,lshift,,lshift,1,2.4367,0,10,10,21,1,1,spongebob,mickeymouse,spongebob,mickeymouse,,,,,,,,,,,,,,,,,,,,,
SJ,001,2023-09-06_14h50.20.651,exp_g2,2022.2.5,MacIntel,60.0024001,,,,,,,023,l2,t,es,na,audio/023.wav,,l2_t_es_na_023,,,,,,,image/wine.png,image/cellphone.png,wine,lshift,,lshift,1,2.3112,0,11,11,37,1,1,wine,cellphone,wine,cellphone,,,,,,,,,,,,,,,,,,,,,
SJ,001,2023-09-06_14h50.20.651,exp_g2,2022.2.5,MacIntel,60.0024001,,,,,,,106,l2,f,en,na,audio/106.wav,,l2_f_en_na_106,,,,,,,image/wallet.png,image/computer.png,computer,rshift,,rshift,1,2.7021,0,12,12,10,1,1,computer,wallet,wallet,computer,,,,,,,,,,,,,,,,,,,,,
SJ,001,2023-09-06_14h50.20.651,exp_g2,2022.2.5,MacIntel,60.0024001,,,,,,,027,l2,t,es,na,audio/027.wav,,l2_t_es_na_027,,,,,,,image/shirt.png,image/book.png,shirt,lshift,,lshift,1,2.1519,0,13,13,41,1,1,shirt,book,shirt,book,,,,,,,,,,,,,,,,,,,,,
SJ,001,2023-09-06_14h50.20.651,exp_g2,2022.2.5,MacIntel,60.0024001,,,,,,,147,l2,t,es,f0u,audio/147.wav,,l2_t_es_f0u_147,,,,,,,image/truck.png,image/book.png,truck,lshift,,lshift,1,2.8615,0,14,14,51,1,1,truck,book,truck,book,,,,,,,,,,,,,,,,,,,,,
SJ,001,2023-09-06_14h50.20.651,exp_g2,2022.2.5,MacIntel,60.0024001,,,,,,,024,l2,t,es,na,audio/024.wav,,l2_t_es_na_024,,,,,,,image/bed.png,image/jug.png,jug,rshift,,rshift,1,4.2351,0,15,15,38,1,1,jug,bed,bed,jug,,,,,,,,,,,,,,,,,,,,,
SJ,001,2023-09-06_14h50.20.651,exp_g2,2022.2.5,MacIntel,60.0024001,,,,,,,144,l2,t,es,f0u,audio/144.wav,,l2_t_es_f0u_144,,,,,,,image/bracelet.png,image/backpack.png,backpack,rshift,,lshift,0,4.844,0,16,16,48,1,1,backpack,bracelet,bracelet,backpack,,,,,,,,,,,,,,,,,,,,,
SJ,001,2023-09-06_14h50.20.651,exp_g2,2022.2.5,MacIntel,60.0024001,,,,,,,112,l2,f,se,na,audio/112.wav,,l2_f_se_na_112,,,,,,,image/burger.png,image/hotdog.png,hotdog,rshift,,rshift,1,2.2577,0,17,17,16,1,1,hotdog,burger,burger,hotdog,,,,,,,,,,,,,,,,,,,,,
SJ,001,2023-09-06_14h50.20.651,exp_g2,2022.2.5,MacIntel,60.0024001,,,,,,,141,l2,t,es,f0u,audio/141.wav,,l2_t_es_f0u_141,,,,,,,image/dog.png,image/backpack.png,dog,lshift,,lshift,1,2.4954,0,18,18,45,1,1,dog,backpack,dog,backpack,,,,,,,,,,,,,,,,,,,,,
SJ,001,2023-09-06_14h50.20.651,exp_g2,2022.2.5,MacIntel,60.0024001,,,,,,,148,l2,t,es,f0u,audio/148.wav,,l2_t_es_f0u_148,,,,,,,image/newspaper.png,image/cups.png,cups,rshift,,rshift,1,2.459,0,19,19,52,1,1,cups,newspaper,newspaper,cups,,,,,,,,,,,,,,,,,,,,,
SJ,001,2023-09-06_14h50.20.651,exp_g2,2022.2.5,MacIntel,60.0024001,,,,,,,101,l2,f,en,na,audio/101.wav,,l2_f_en_na_101,,,,,,,image/computer.png,image/bag.png,computer,lshift,,lshift,1,2.5252,0,20,20,5,1,1,computer,bag,computer,bag,,,,,,,,,,,,,,,,,,,,,
SJ,001,2023-09-06_14h50.20.651,exp_g2,2022.2.5,MacIntel,60.0024001,,,,,,,028,l2,t,es,na,audio/028.wav,,l2_t_es_na_028,,,,,,,image/pants.png,image/glasses.png,glasses,rshift,,,0,,0,21,21,42,1,1,glasses,pants,pants,glasses,,,,,,,,,,,,,,,,,,,,,
SJ,001,2023-09-06_14h50.20.651,exp_g2,2022.2.5,MacIntel,60.0024001,,,,,,,142,l2,t,es,f0u,audio/142.wav,,l2_t_es_f0u_142,,,,,,,image/car.png,image/truck.png,truck,rshift,,rshift,1,2.4127,0,22,22,46,1,1,truck,car,car,truck,,,,,,,,,,,,,,,,,,,,,
SJ,001,2023-09-06_14h50.20.651,exp_g2,2022.2.5,MacIntel,60.0024001,,,,,,,030,l2,t,es,na,audio/030.wav,,l2_t_es_na_030,,,,,,,image/flipflops.png,image/boy.png,boy,rshift,,rshift,1,4.3204,0,23,23,44,1,1,boy,flipflops,flipflops,boy,,,,,,,,,,,,,,,,,,,,,
SJ,001,2023-09-06_14h50.20.651,exp_g2,2022.2.5,MacIntel,60.0024001,,,,,,,124,l2,f,sp,na,audio/124.wav,,l2_f_sp_na_124,,,,,,,image/bag.png,image/bed.png,bed,rshift,,rshift,1,3.3071,0,24,24,28,1,1,bed,bag,bag,bed,,,,,,,,,,,,,,,,,,,,,
SJ,001,2023-09-06_14h50.20.651,exp_g2,2022.2.5,MacIntel,60.0024001,,,,,,,021,l2,t,es,na,audio/021.wav,,l2_t_es_na_021,,,,,,,image/jacket.png,image/flipflops.png,jacket,lshift,,lshift,1,2.8574,0,25,25,35,1,1,jacket,flipflops,jacket,flipflops,,,,,,,,,,,,,,,,,,,,,
SJ,001,2023-09-06_14h50.20.651,exp_g2,2022.2.5,MacIntel,60.0024001,,,,,,,127,l2,f,sp,na,audio/127.wav,,l2_f_sp_na_127,,,,,,,image/cat.png,image/dog.png,cat,lshift,,lshift,1,2.2079,0,26,26,31,1,1,cat,dog,cat,dog,,,,,,,,,,,,,,,,,,,,,
SJ,001,2023-09-06_14h50.20.651,exp_g2,2022.2.5,MacIntel,60.0024001,,,,,,,126,l2,f,sp,na,audio/126.wav,,l2_f_sp_na_126,,,,,,,image/backpack.png,image/key.png,key,rshift,,rshift,1,2.5776,0,27,27,30,1,1,key,backpack,backpack,key,,,,,,,,,,,,,,,,,,,,,
SJ,001,2023-09-06_14h50.20.651,exp_g2,2022.2.5,MacIntel,60.0024001,,,,,,,122,l2,f,sp,na,audio/122.wav,,l2_f_sp_na_122,,,,,,,image/desk.png,image/chair.png,chair,rshift,,rshift,1,4.0572,0,28,28,26,1,1,chair,desk,desk,chair,,,,,,,,,,,,,,,,,,,,,
SJ,001,2023-09-06_14h50.20.651,exp_g2,2022.2.5,MacIntel,60.0024001,,,,,,,149,l2,t,es,f0u,audio/149.wav,,l2_t_es_f0u_149,,,,,,,image/boy.png,image/dog.png,boy,lshift,,lshift,1,4.309,0,29,29,53,1,1,boy,dog,boy,dog,,,,,,,,,,,,,,,,,,,,,
SJ,001,2023-09-06_14h50.20.651,exp_g2,2022.2.5,MacIntel,60.0024001,,,,,,,111,l2,f,se,na,audio/111.wav,,l2_f_se_na_111,,,,,,,image/mashedpotatoes.png,image/donut.png,mashedpotatoes,lshift,,lshift,1,2.6242,0,30,30,15,1,1,mashedpotatoes,donut,mashedpotatoes,donut,,,,,,,,,,,,,,,,,,,,,
SJ,001,2023-09-06_14h50.20.651,exp_g2,2022.2.5,MacIntel,60.0024001,,,,,,,105,l2,f,en,na,audio/105.wav,,l2_f_en_na_105,,,,,,,image/bed.png,image/plane.png,bed,lshift,,lshift,1,3.1427,0,31,31,9,1,1,bed,plane,bed,plane,,,,,,,,,,,,,,,,,,,,,
SJ,001,2023-09-06_14h50.20.651,exp_g2,2022.2.5,MacIntel,60.0024001,,,,,,,029,l2,t,es,na,audio/029.wav,,l2_t_es_na_029,,,,,,,image/armchair.png,image/ring.png,armchair,lshift,,,0,,0,32,32,43,1,1,armchair,ring,armchair,ring,,,,,,,,,,,,,,,,,,,,,
SJ,001,2023-09-06_14h50.20.651,exp_g2,2022.2.5,MacIntel,60.0024001,,,,,,,109,l2,f,en,na,audio/109.wav,,l2_f_en_na_109,,,,,,,image/fish.png,image/woman.png,fish,lshift,,lshift,1,2.5092,0,33,33,13,1,1,fish,woman,fish,woman,,,,,,,,,,,,,,,,,,,,,
SJ,001,2023-09-06_14h50.20.651,exp_g2,2022.2.5,MacIntel,60.0024001,,,,,,,150,l2,t,es,f0u,audio/150.wav,,l2_t_es_f0u_150,,,,,,,image/cat.png,image/key.png,key,rshift,,rshift,1,2.3813,0,34,34,54,1,1,key,cat,cat,key,,,,,,,,,,,,,,,,,,,,,
SJ,001,2023-09-06_14h50.20.651,exp_g2,2022.2.5,MacIntel,60.0024001,,,,,,,110,l2,f,en,na,audio/110.wav,,l2_f_en_na_110,,,,,,,image/dog.png,image/cat.png,cat,rshift,,rshift,1,2.3963,0,35,35,14,1,1,cat,dog,dog,cat,,,,,,,,,,,,,,,,,,,,,
SJ,001,2023-09-06_14h50.20.651,exp_g2,2022.2.5,MacIntel,60.0024001,,,,,,,145,l2,t,es,f0u,audio/145.wav,,l2_t_es_f0u_145,,,,,,,image/bag.png,image/flower.png,bag,lshift,,lshift,1,2.3253,0,36,36,49,1,1,bag,flower,bag,flower,,,,,,,,,,,,,,,,,,,,,
SJ,001,2023-09-06_14h50.20.651,exp_g2,2022.2.5,MacIntel,60.0024001,,,,,,,128,l2,f,sp,na,audio/128.wav,,l2_f_sp_na_128,,,,,,,image/cups.png,image/kids.png,kids,rshift,,rshift,1,2.7609,0,37,37,32,1,1,kids,cups,cups,kids,,,,,,,,,,,,,,,,,,,,,
SJ,001,2023-09-06_14h50.20.651,exp_g2,2022.2.5,MacIntel,60.0024001,,,,,,,026,l2,t,es,na,audio/026.wav,,l2_t_es_na_026,,,,,,,image/village.png,image/grandma.png,grandma,rshift,,rshift,1,2.9582,0,38,38,40,1,1,grandma,village,village,grandma,,,,,,,,,,,,,,,,,,,,,
SJ,001,2023-09-06_14h50.20.651,exp_g2,2022.2.5,MacIntel,60.0024001,,,,,,,113,l2,f,se,na,audio/113.wav,,l2_f_se_na_113,,,,,,,image/loafers.png,image/sneakers.png,loafers,lshift,,lshift,1,2.6477,0,39,39,17,1,1,loafers,sneakers,loafers,sneakers,,,,,,,,,,,,,,,,,,,,,
SJ,001,2023-09-06_14h50.20.651,exp_g2,2022.2.5,MacIntel,60.0024001,,,,,,,096,l2,f,en,na,audio/096.wav,,l2_f_en_na_096,,,,,,,image/woman.png,image/cat.png,cat,rshift,,rshift,1,1.8963,0,40,40,0,1,1,cat,woman,woman,cat,image/,,,,,,,,,,,,,,,,,,,,
SJ,001,2023-09-06_14h50.20.651,exp_g2,2022.2.5,MacIntel,60.0024001,,,,,,,098,l2,f,en,na,audio/098.wav,,l2_f_en_na_098,,,,,,,image/man.png,image/woman.png,woman,rshift,,rshift,1,2.0764,0,41,41,2,1,1,woman,man,man,woman,,,,,,,,,,,,,,,,,,,,,
SJ,001,2023-09-06_14h50.20.651,exp_g2,2022.2.5,MacIntel,60.0024001,,,,,,,102,l2,f,en,na,audio/102.wav,,l2_f_en_na_102,,,,,,,image/socks.png,image/book.png,books,rshift,,rshift,1,2.6104,0,42,42,6,1,1,books,socks,socks,book,,,,,,,,,,,,,,,,,,,,,
SJ,001,2023-09-06_14h50.20.651,exp_g2,2022.2.5,MacIntel,60.0024001,,,,,,,119,l2,f,se,na,audio/119.wav,,l2_f_se_na_119,,,,,,,image/penthouse.png,image/rocket.png,penthouse,lshift,,lshift,1,2.6379,0,43,43,23,1,1,penthouse,rocket,penthouse,rocket,,,,,,,,,,,,,,,,,,,,,
SJ,001,2023-09-06_14h50.20.651,exp_g2,2022.2.5,MacIntel,60.0024001,,,,,,,143,l2,t,es,f0u,audio/143.wav,,l2_t_es_f0u_143,,,,,,,image/horchata.png,image/beer.png,horchata,lshift,,lshift,1,3.7102,0,44,44,47,1,1,horchata,beer,horchata,beer,,,,,,,,,,,,,,,,,,,,,
SJ,001,2023-09-06_14h50.20.651,exp_g2,2022.2.5,MacIntel,60.0024001,,,,,,,104,l2,f,en,na,audio/104.wav,,l2_f_en_na_104,,,,,,,image/shirt.png,image/bag.png,bag,rshift,,rshift,1,2.3707,0,45,45,8,1,1,bag,shirt,shirt,bag,,,,,,,,,,,,,,,,,,,,,
SJ,001,2023-09-06_14h50.20.651,exp_g2,2022.2.5,MacIntel,60.0024001,,,,,,,022,l2,t,es,na,audio/022.wav,,l2_t_es_na_022,,,,,,,image/dog.png,image/cat.png,cat,rshift,,rshift,1,2.2438,0,46,46,36,1,1,cat,dog,dog,cat,,,,,,,,,,,,,,,,,,,,,
SJ,001,2023-09-06_14h50.20.651,exp_g2,2022.2.5,MacIntel,60.0024001,,,,,,,103,l2,f,en,na,audio/103.wav,,l2_f_en_na_103,,,,,,,image/toys.png,image/sneakers.png,toys,lshift,,lshift,1,2.3009,0,47,47,7,1,1,toys,sneakers,toys,sneakers,,,,,,,,,,,,,,,,,,,,,
SJ,001,2023-09-06_14h50.20.651,exp_g2,2022.2.5,MacIntel,60.0024001,,,,,,,120,l2,f,se,na,audio/120.wav,,l2_f_se_na_120,,,,,,,image/glasses.png,image/joycons.png,joycons,rshift,,rshift,1,4.7875,0,48,48,24,1,1,joycons,glasses,glasses,joycons,,,,,,,,,,,,,,,,,,,,,
SJ,001,2023-09-06_14h50.20.651,exp_g2,2022.2.5,MacIntel,60.0024001,,,,,,,107,l2,f,en,na,audio/107.wav,,l2_f_en_na_107,,,,,,,image/man.png,image/cat.png,man,lshift,,lshift,1,2.3091,0,49,49,11,1,1,man,cat,man,cat,,,,,,,,,,,,,,,,,,,,,
SJ,001,2023-09-06_14h50.20.651,exp_g2,2022.2.5,MacIntel,60.0024001,,,,,,,121,l2,f,sp,na,audio/121.wav,,l2_f_sp_na_121,,,,,,,image/shoe.png,image/glasses.png,shoe,lshift,,lshift,1,3.1906,0,50,50,25,1,1,shoe,glasses,shoe,glasses,,,,,,,,,,,,,,,,,,,,,
SJ,001,2023-09-06_14h50.20.651,exp_g2,2022.2.5,MacIntel,60.0024001,,,,,,,100,l2,f,en,na,audio/100.wav,,l2_f_en_na_100,,,,,,,image/wallet.png,image/scarf.png,scarf,rshift,,rshift,1,2.4896,0,51,51,4,1,1,scarf,wallet,wallet,scarf,,,,,,,,,,,,,,,,,,,,,
SJ,001,2023-09-06_14h50.20.651,exp_g2,2022.2.5,MacIntel,60.0024001,,,,,,,146,l2,t,es,f0u,audio/146.wav,,l2_t_es_f0u_146,,,,,,,image/cellphone.png,image/flipflops.png,flipflops,rshift,,rshift,1,4.4106,0,52,52,50,1,1,flipflops,cellphone,cellphone,flipflops,,,,,,,,,,,,,,,,,,,,,
SJ,001,2023-09-06_14h50.20.651,exp_g2,2022.2.5,MacIntel,60.0024001,,,,,,,115,l2,f,se,na,audio/115.wav,,l2_f_se_na_115,,,,,,,image/notebook.png,image/cellphone.png,notebook,lshift,,lshift,1,2.558,0,53,53,19,1,1,notebook,cellphone,notebook,cellphone,,,,,,,,,,,,,,,,,,,,,
SJ,001,2023-09-06_14h50.20.651,exp_g2,2022.2.5,MacIntel,60.0024001,,,,,,,118,l2,f,se,na,audio/118.wav,,l2_f_se_na_118,,,,,,,image/icecream.png,image/donut.png,donut,rshift,,rshift,1,2.4262,0,54,54,22,1,1,donut,icecream,icecream,donut,,,,,,,,,,,,,,,,,,,,,
SJ,001,2023-09-06_14h50.20.651,exp_g2,2022.2.5,MacIntel,60.0024001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SJ,001,2023-09-06_14h50.20.651,exp_g2,2022.2.5,MacIntel,60.0024001,,,,,,,tr1,lt,tr,en,na,practice_trial/audio/tr1.wav,Where are your kids?,lt_tr_en_na_tr1,-,-,-,-,-,-,image/america.png,image/spain.png,,,,,,,,,,,,,,,,,,"[""lshift""]",[2.1304999999999836],0,0,0,0,1,,,,,,,,,,,,,
SJ,001,2023-09-06_14h50.20.651,exp_g2,2022.2.5,MacIntel,60.0024001,,,,,,,tr2,lt,tr,en,na,practice_trial/audio/tr2.wav,Who is buying my car?,lt_tr_en_na_tr2,-,-,-,-,-,-,image/america.png,image/spain.png,,,,,,,,,,,,,,,,,,"[""lshift""]",[2.8501999999284635],0,1,1,1,1,,,,,,,,,,,,,
SJ,001,2023-09-06_14h50.20.651,exp_g2,2022.2.5,MacIntel,60.0024001,,,,,,,tr3,lt,tr,sp,na,practice_trial/audio/tr3.wav,¿Dónde está mi perro?,lt_tr_sp_na_tr3,-,-,-,-,-,-,image/america.png,image/spain.png,,,,,,,,,,,,,,,,,,"[""rshift""]",[2.0003000000714906],0,2,2,2,1,,,,,,,,,,,,,
SJ,001,2023-09-06_14h50.20.651,exp_g2,2022.2.5,MacIntel,60.0024001,,,,,,,tr4,lt,tr,sp,na,practice_trial/audio/tr4.wav,¿De quién es la bolsa?,lt_tr_sp_na_tr4,-,-,-,-,-,-,image/america.png,image/spain.png,,,,,,,,,,,,,,,,,,"[""rshift""]",[2.3503000000715133],0,3,3,3,1,,,,,,,,,,,,,
SJ,001,2023-09-06_14h50.20.651,exp_g2,2022.2.5,MacIntel,60.0024001,,,,,,,tr5,lt,tr,se,na,practice_trial/audio/tr5.wav,¿Dónde encontraste sus donuts?,lt_tr_se_na_tr5,-,-,-,-,-,-,image/america.png,image/spain.png,,,,,,,,,,,,,,,,,,"[""rshift""]",[2.822499999999991],0,4,4,4,1,,,,,,,,,,,,,
SJ,001,2023-09-06_14h50.20.651,exp_g2,2022.2.5,MacIntel,60.0024001,,,,,,,tr6,lt,tr,se,na,practice_trial/audio/tr6.wav,¿Cuándo compraste tu sweater?,lt_tr_se_na_tr6,-,-,-,-,-,-,image/america.png,image/spain.png,,,,,,,,,,,,,,,,,,"[""rshift""]",[4.267100000023845],0,5,5,5,1,,,,,,,,,,,,,
SJ,001,2023-09-06_14h50.20.651,exp_g2,2022.2.5,MacIntel,60.0024001,,,,,,,tr7,lt,tr,es,na,practice_trial/audio/tr7.wav,Why do you have my camisa?,lt_tr_es_na_tr7,-,-,-,-,-,-,image/america.png,image/spain.png,,,,,,,,,,,,,,,,,,"[""lshift"",""rshift""]","[4.352700000047662,4.721200000047645]",0,6,6,6,1,,,,,,,,,,,,,
SJ,001,2023-09-06_14h50.20.651,exp_g2,2022.2.5,MacIntel,60.0024001,,,,,,,tr8,lt,tr,es,na,practice_trial/audio/tr8.wav,Where did you find his chanclas?,lt_tr_es_na_tr8,-,-,-,-,-,-,image/america.png,image/spain.png,,,,,,,,,,,,,,,,,,"[""lshift"",""rshift""]","[3.1536000000238573,3.5330000000000155]",0,7,7,7,1,,,,,,,,,,,,,
